2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '75N93019C00052-0-9999-1' [Context: dataset_id=sdy2580, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): 'HHSN272201000056C' [Context: dataset_id=sdy100, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '272201200031C-0-0-1' [Context: dataset_id=sdy1015, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): 'N01AI25496-9-0-1' [Context: dataset_id=sdy1027, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '1P01AI106697-01' [Context: dataset_id=sdy1041, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '1R01CA207133-01' [Context: dataset_id=sdy1079, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '1U19AI090023-01' [Context: dataset_id=sdy1086, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '1U19AI089986-01' [Context: dataset_id=sdy1092, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '1R01CA196658-01A1' [Context: dataset_id=sdy1099, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '1U19AI118610-01' [Context: dataset_id=sdy1100, entity_type=MonetaryGrant, field=identifier]
2025-12-22 18:24:19 - okn_wobd.rdf_converter - WARNING - Invalid URI format (no valid URI found): '1U19AI090019-01' [Context: dataset_id=sdy1108, entity_type=MonetaryGrant, field=identifier]
